               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024556,            0.045817,           0.0075317,               0.987,             0.98075,             0.99168,             0.85325,            0.014043,            0.028027,           0.0029201,           0.0049675,           0.0049675,           0.0049675
                  63,            0.024535,             0.04585,           0.0080156,             0.98637,              0.9811,              0.9914,             0.84935,            0.014181,            0.028426,           0.0028766,            0.004885,            0.004885,            0.004885
                  64,            0.024044,            0.045341,            0.007508,               0.985,              0.9826,             0.99157,             0.85274,            0.014013,            0.028283,            0.002757,           0.0048025,           0.0048025,           0.0048025
                  65,            0.024128,            0.045053,           0.0075853,             0.98785,             0.97943,             0.99171,             0.85179,            0.013895,            0.028176,           0.0027452,             0.00472,             0.00472,             0.00472
                  66,            0.023882,            0.044415,           0.0073169,             0.98886,             0.98201,             0.99212,             0.85771,             0.01347,            0.027595,           0.0026185,           0.0046375,           0.0046375,           0.0046375
                  67,            0.023852,            0.044605,           0.0075797,             0.98902,             0.98182,              0.9919,             0.85925,            0.013479,            0.027462,           0.0025936,            0.004555,            0.004555,            0.004555
                  68,            0.023585,            0.044506,           0.0070851,             0.98769,             0.98369,             0.99216,             0.85817,            0.013564,            0.027684,           0.0024893,           0.0044725,           0.0044725,           0.0044725
                  69,            0.023541,            0.044537,           0.0070999,             0.99097,             0.98216,             0.99223,             0.85936,            0.013629,            0.027545,           0.0024926,             0.00439,             0.00439,             0.00439
                  70,            0.023643,            0.044861,           0.0072483,             0.98923,             0.98271,             0.99194,              0.8576,            0.013667,            0.027728,           0.0025426,           0.0043075,           0.0043075,           0.0043075
                  71,             0.02333,            0.044141,           0.0073698,              0.9902,             0.98175,             0.99224,             0.85848,            0.013653,            0.027614,           0.0024919,            0.004225,            0.004225,            0.004225
                  72,            0.023171,            0.044947,           0.0070385,             0.98707,             0.98432,             0.99187,             0.86041,            0.013512,            0.027493,           0.0024254,           0.0041425,           0.0041425,           0.0041425
                  73,            0.023364,            0.044726,           0.0071185,             0.98881,             0.98292,             0.99225,             0.85981,            0.013353,            0.027321,           0.0024756,             0.00406,             0.00406,             0.00406
                  74,            0.022943,            0.043551,           0.0067531,             0.99065,              0.9847,             0.99231,             0.86025,            0.013251,            0.027322,           0.0024706,           0.0039775,           0.0039775,           0.0039775
                  75,            0.022766,            0.043627,           0.0066437,              0.9899,             0.98429,             0.99251,             0.86453,            0.013179,            0.027034,           0.0022977,            0.003895,            0.003895,            0.003895
                  76,            0.022618,            0.043475,           0.0068569,             0.98985,             0.98434,             0.99246,             0.86553,            0.013123,            0.026979,           0.0023294,           0.0038125,           0.0038125,           0.0038125
                  77,            0.022799,            0.043605,           0.0068055,             0.99141,             0.98334,             0.99254,             0.86712,             0.01305,            0.026954,           0.0023209,             0.00373,             0.00373,             0.00373
                  78,            0.022497,            0.043457,           0.0067235,             0.98883,             0.98474,             0.99222,             0.86689,            0.012957,            0.026955,           0.0023083,           0.0036475,           0.0036475,           0.0036475
                  79,            0.022634,             0.04351,           0.0067941,             0.98803,             0.98528,             0.99254,             0.86679,            0.012884,             0.02673,            0.002292,            0.003565,            0.003565,            0.003565
                  80,            0.022153,            0.043147,           0.0064608,             0.98928,             0.98503,              0.9926,             0.86648,            0.013013,            0.026738,           0.0021875,           0.0034825,           0.0034825,           0.0034825
                  81,             0.02202,            0.042865,            0.006473,             0.99011,             0.98582,             0.99248,             0.86966,             0.01279,            0.026736,           0.0021951,              0.0034,              0.0034,              0.0034
                  82,            0.022214,            0.043421,           0.0065207,             0.99164,             0.98494,             0.99269,             0.86894,            0.012756,            0.026537,           0.0021397,           0.0033175,           0.0033175,           0.0033175
                  83,            0.022068,            0.042337,           0.0065371,             0.99091,             0.98497,              0.9927,             0.87028,              0.0127,            0.026495,           0.0021204,            0.003235,            0.003235,            0.003235
